사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
뽕가요주점,"대전광역시 대덕구 신탄진동로23번길 2 (신탄진동,,7)",룸살롱,,88.51,36.4494771,127.4315036
가요주점 백두,대전광역시 서구 월평북로 88-10 (월평동),룸살롱,,327.22,36.3611899,127.3781874
월드컵,대전광역시 동구 동서대로 1699-22 (용전동),룸살롱,,93.39,36.3458005,127.4298745
보스톤노래마당,"대전광역시 대덕구 신탄진동로23번길 56, 지하층 (신탄진동)",룸살롱,,106.98,36.4494771,127.4315036
세븐노래클럽,"대전광역시 대덕구 중리로 16, 지하1층 (중리동)",기타,,103.87,36.3629452,127.4252219
솥뚜껑,"대전광역시 서구 월평북로 88-16, 지하1층 (월평동)",룸살롱,,200.04,36.3611899,127.3781874
크로바,"대전광역시 유성구 온천로 44, 지하층 (봉명동)",기타,,330.54,36.3549374,127.3450624
여왕,대전광역시 대덕구 신탄진로810번길 13 (신탄진동),노래클럽,,159.96,36.4504391,127.4327313
장녹수가요주점,"대전광역시 대덕구 한밭대로1149번길 35, 2층 (중리동)",룸살롱,유흥업소밀집지역,209.17,36.3597893,127.4262945
탄탄술노래,대전광역시 유성구 계룡로87번길 59 (봉명동),기타,유흥업소밀집지역,72.54,36.3557237,127.3411667
에스라인클럽,"대전광역시 대덕구 신탄진동로7번길 59, 지하층 (신탄진동)",기타,,200.21,36.449223,127.4299318
바다가요주점,대전광역시 유성구 계룡로141번길 29-13 (봉명동),기타,,146.56,36.3538733,127.346488
나이트클럽세븐,"대전광역시 중구 당디로 112, 1동 2,3층 (유천동)",고고(디스코)클럽,유흥업소밀집지역,2080.68,36.3083824,127.3936335
(주)찬스관광나이트,"대전광역시 중구 대둔산로 518 (유천동,외6필지 지상2층)",고고(디스코)클럽,,2407.87,36.2819924,127.3752441
압구정,"대전광역시 중구 대종로480번길 38 (은행동,(지하))",기타,,82.92,36.328055,127.4284139
골드,대전광역시 서구 도산로 183 (변동),관광호텔나이트(디스코),,116.68,36.3444833,127.4003371
세이노래주점,"대전광역시 중구 계백로1584번길 28 (유천동,(지하))",비어(바)살롱,유흥업소밀집지역,193.7,36.3152401,127.3969394
쎄븐,대전광역시 대덕구 신탄진동로7번길 58 (신탄진동),룸살롱,기타,102.65,36.449223,127.4299318
아방궁가요주점,"대전광역시 중구 당디로 121 (유천동,(1층))",기타,,39.48,36.3083824,127.3936335
팔도,대전광역시 동구 대전로 849 (정동),룸살롱,,87.62,36.3260032,127.4362296
천지,"대전광역시 중구 당디로124번길 93 (유천동,(지하))",기타,유흥업소밀집지역,99.26,36.3162468,127.3926726
썬가요주점,대전광역시 대덕구 신탄진동로7번길 37 (신탄진동),룸살롱,유흥업소밀집지역,73.04,36.449223,127.4299318
사계절,대전광역시 대덕구 신탄진동로7번길 14 (신탄진동),카바레,아파트지역,77.44,36.449223,127.4299318
에프엠가요클럽,대전광역시 동구 동서대로1695번길 73 (용전동),룸살롱,,90.07,36.3524512,127.4376841
황제카바레,대전광역시 동구 대전로839번길 27 (정동),카바레,,641.2,36.3334128,127.429336
키스,"대전광역시 중구 당디로124번길 40 (유천동,(1층))",기타,,20.23,36.3162468,127.3926726
제우스,대전광역시 동구 동서대로1695번길 71 (용전동),스텐드바,,139.86,36.3524512,127.4376841
라임주점,"대전광역시 대덕구 신탄진동로7번길 14, 지하층 (신탄진동)",룸살롱,,60.43,36.449223,127.4299318
엉덩이가요주점,"대전광역시 대덕구 신탄진동로7번안길 7, 지하층 (신탄진동)",카바레,기타,60.2,36.4508584,127.4311369
사또,"대전광역시 유성구 온천서로 10, 지하1층 (봉명동)",기타,,97.8,36.3573221,127.3394849
왕,"대전광역시 중구 당디로 122 (유천동,(1층))",기타,유흥업소밀집지역,22.59,36.3083824,127.3936335
와와노래클럽,"대전광역시 중구 계백로 1566 (유천동,(지하))",기타,,171.98,36.3162871,127.3894402
에이스,"대전광역시 중구 당디로 119 (유천동,(1층))",기타,유흥업소밀집지역,23.77,36.3083824,127.3936335
호박노래라이브,"대전광역시 중구 계백로1498번길 29 (유천동,(지하))",기타,,145,36.3157075,127.3888814
이태원,"대전광역시 중구 대둔산로 506 (유천동,(1층))",기타,,24.81,36.2819924,127.3752441
임팩트,"대전광역시 중구 중앙로164번길 38 (은행동,(2층))",기타,기타,129.8,36.3280583,127.4284226
뉴벤틀리,"대전광역시 중구 선화로 120, 지하1층 (선화동)",비어(바)살롱,,63.7,36.324109,127.4114682
판도라,"대전광역시 중구 대전천서로 469, 지하1층 (은행동)",노래클럽,기타,141,36.3164771,127.4383812
제우스,대전광역시 중구 당디로124번길 40 (유천동),기타,유흥업소밀집지역,21.04,36.3162468,127.3926726
허브,대전광역시 대덕구 신탄진동로7번길 41 (신탄진동),룸살롱,,90.14,36.449223,127.4299318
아이리스,"대전광역시 중구 대둔산로 506 (유천동,(1층))",기타,,27.08,36.2819924,127.3752441
쿵쿵따노래주점,"대전광역시 중구 중교로 91 (은행동,(지하1층))",비어(바)살롱,기타,90.28,36.3258958,127.4254577
무궁화유흥주점,"대전광역시 중구 중앙로 21, 무궁화프라자 3층 (용두동)",비어(바)살롱,기타,98.28,36.3286756,127.4259679
버킹검,"대전광역시 중구 당디로124번길 14, 1층 (유천동)",기타,,20.7,36.3162468,127.3926726
신나라,"대전광역시 중구 선화로 126-7, 지하1층 (선화동)",룸살롱,기타,36.2,36.324109,127.4114682
금바위,"대전광역시 중구 대둔산로 520 (유천동,(지하))",기타,유흥업소밀집지역,96.31,36.2819924,127.3752441
제일식당,대전광역시 동구 중앙로200번길 40 (원동),룸살롱,,273.72,36.3278845,127.4330331
오렌지,"대전광역시 중구 중앙로156번길 44 (은행동,(지하))",노래클럽,유흥업소밀집지역,72,36.3276633,127.4286391
쾌남,"대전광역시 중구 보문로 309 (선화동,(지하))",룸살롱,기타,292.17,36.3133309,127.4368955
해신노래주점,"대전광역시 중구 중앙로122번길 14 (대흥동,(지하))",기타,,84.9,36.3268313,127.4239392
오로라,"대전광역시 중구 당디로124번길 12 (유천동,(1층))",기타,유흥업소밀집지역,60.69,36.3162468,127.3926726
"아시아노래클럽,싸이공(SAIGON)",대전광역시 중구 대종로517번길 24 (선화동),룸살롱,,0,36.3296795,127.4237497
