사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
행복마당7080,"대전광역시 중구 대둔산로 522, 2층 (유천동)",단란주점,유흥업소밀집지역,126.17,36.2815663,127.3757249
어울림 노래바,"대전광역시 유성구 문화원로 129, 지상2층 201호 (봉명동)",단란주점,,143.13,36.3612376,127.3384993
강남 단란주점,"대전광역시 유성구 관평2로 7-9 (관평동, 지상3층)",단란주점,,55.61,36.42546045,127.3918843
럭셔리단란주점,"대전광역시 유성구 관평2로 7-9, 5층 (관평동)",단란주점,학교정화(상대),65.09,36.42546045,127.3918843
가오리단란주점,"대전광역시 중구 문창로 135, 3층 (대흥동)",단란주점,,91.31,36.3160659,127.4338853
썸 노래주점,"대전광역시 유성구 관평2로 7-5, 지상3층 301호 (관평동, 지앤우빌딩)",단란주점,기타,105.57,36.42557925,127.3915596
탑텐,대전광역시 중구 대흥로165번길 41 (대흥동),단란주점,,91.67,36.3258287,127.429728
낭만콘서트7080,"대전광역시 중구 계백로 1697-1, 3층 (오류동)",단란주점,기타,84.4,36.3162871,127.3894402
샾 단란주점,"대전광역시 유성구 온천북로13번길 40, 지상2층 203호 (봉명동, 채운1)",단란주점,,70.83,36.3584215,127.3448354
수 단란주점,"대전광역시 동구 은어송로51번길 12, 203호 (가오동)",단란주점,기타,39.4,36.3070418,127.4554238
나우리 노래바,"대전광역시 유성구 온천북로 21, 2층 (봉명동)",단란주점,,125.14,36.3567849,127.3467595
현하7080,"대전광역시 중구 계백로 1548, 2층 (유천동)",단란주점,유흥업소밀집지역,115.53,36.3162871,127.3894402
설탕클럽,"대전광역시 서구 월평로 47, 지하1층 (월평동)",단란주점,학교정화(상대),745.05,36.3571791,127.3630649
두꺼비 노래바,"대전광역시 유성구 온천동로65번길 54, 지상2층 (봉명동)",단란주점,,139.58,36.3570912,127.3516238
이글스라이브,"대전광역시 대덕구 중리로 7, 2층 (중리동)",단란주점,유흥업소밀집지역,123,36.3629452,127.4252219
로또노래클럽,"대전광역시 중구 중앙로130번길 20, 3층 (대흥동)",단란주점,기타,52.56,36.3271322,127.424748
써니7080,"대전광역시 동구 대흥로 211-1, 2층 (원동)",단란주점,,115.74,36.3263031,127.4338873
유람선,"대전광역시 대덕구 중리로 9, 2층 (중리동)",단란주점,기타,104.33,36.3629452,127.4252219
칸7080,"대전광역시 중구 중앙로 17-1, 2층 (용두동)",단란주점,기타,84.2,36.323002,127.4165941
7080별밤,대전광역시 중구 계룡로882번길 42 (오류동),단란주점,,131.32,36.3214909,127.4065376
써니 7080,대전광역시 동구 대전로797번길 49 (중동),단란주점,,86.48,36.3300542,127.4310289
리듬터치,"대전광역시 중구 당디로 101, 2층 (유천동)",단란주점,유흥업소밀집지역,122.44,36.3083824,127.3936335
라이브 3456,"대전광역시 유성구 문화원로 138, 지하1층 (봉명동)",단란주점,유흥업소밀집지역,109.81,36.3612376,127.3384993
딕시호프,"대전광역시 중구 대흥로157번길 35, 2층 (대흥동)",단란주점,기타,135.12,36.326417,127.428361
아지트,대전광역시 유성구 온천서로 30-1 (봉명동),단란주점,유흥업소밀집지역,92.74,36.3573221,127.3394849
아시아37가라오케,"대전광역시 동구 대전로 811, 지하1층 (정동)",단란주점,유흥업소밀집지역,115.17,36.3260032,127.4362296
오투 단란주점,"대전광역시 유성구 테크노중앙로 88-14, 3층 (관평동)",단란주점,,35.94,36.425328,127.3921917
황후,"대전광역시 대덕구 신탄진동로7번길 10, 지하1층 (신탄진동)",단란주점,유흥업소밀집지역,127.13,36.449223,127.4299318
사랑열차2,"대전광역시 중구 중앙로16번길 31, 지하1층 (문화동)",단란주점,,99.92,36.3209399,127.4147483
궁단란주점,"대전광역시 유성구 테크노중앙로 88-8, 6층 (관평동)",단란주점,,88.66,36.42508415,127.3927403
제시,"대전광역시 유성구 테크노5로 66, 3층 (관평동)",단란주점,기타,107.23,36.42646665,127.3929009
봉자 라이브 7080,"대전광역시 유성구 테크노중앙로 54, 5층 (관평동, 남정빌딩)",단란주점,기타,93.21,36.42607655,127.3913503
스타,"대전광역시 유성구 테크노중앙로 66, 3층 (관평동)",단란주점,,106.08,36.4256472,127.3924425
넘버원,"대전광역시 중구 계룡로874번길 106, 지하1층 (오류동)",단란주점,기타,53.27,36.3225473,127.4080303
세이칠공팔공,"대전광역시 중구 계백로 1683, 지하1층 (오류동)",단란주점,기타,147.09,36.3162871,127.3894402
투게더,"대전광역시 서구 용문로 45, 지하 1층 (괴정동)",단란주점,기타,107.52,36.3368658,127.3927837
하늬,"대전광역시 서구 도산로369번길 63, 지하1층 (괴정동)",단란주점,,70.24,36.3389863,127.3902156
청담노래주점,"대전광역시 대덕구 신탄진로810번길 23, 1층 (신탄진동)",단란주점,,83.25,36.4504391,127.4327313
선샤인단란주점,대전광역시 동구 동서대로 1700 (가양동),단란주점,결혼예식장주변,129.73,36.3458005,127.4298745
줄넘기,"대전광역시 유성구 계룡로74번길 8, 지하1층 (봉명동)",단란주점,,112.24,36.3522697,127.3382961
뉴소풍,"대전광역시 유성구 테크노중앙로 72, 3층 304호 (관평동, 대덕신대륙프라자)",단란주점,기타,53.37,36.42540775,127.3929968
영진 노래타운,대전광역시 동구 대전로813번길 43 (중동),단란주점,,142.8,36.3315723,127.4307873
올스타단란주점,"대전광역시 서구 도산로369번길 66 (괴정동,(2층))",단란주점,유흥업소밀집지역,44.21,36.3389863,127.3902156
