사업장명,도로명전체주소,위생업태명,양실수,한실수,위도,경도
황소모텔,대전광역시 중구 유천로47번길 99 (유천동),여관업,22,0,36.3161374,127.3945659
맥(MAC)Ⅱ,대전광역시 서구 계룡로636번길 14-19 (용문동),여관업,15,3,36.3394122,127.3907908
프라임모텔,대전광역시 중구 문창로 109-16 (대흥동),여관업,12,2,36.3160659,127.4338853
드래곤캐슬모텔,대전광역시 대덕구 중리로7번길 14-9 (중리동),여관업,18,0,36.3597079,127.4230059
그린파크,대전광역시 중구 문창로90번길 33 (문창동),여관업,18,1,36.321847,127.4342998
산호파크텔,대전광역시 동구 동서대로1705번길 11 (용전동),여관업,7,18,36.3506668,127.4385353
케이(K)7피씨텔,대전광역시 유성구 온천서로 32-24 (봉명동),여관업,14,10,36.3573221,127.3394849
동경(憧憬) 대전점,대전광역시 서구 변동로 48-17 (변동),여관업,13,2,36.3256801,127.3784464
만보장,대전광역시 동구 대전로825번길 7 (정동),여관업,9,4,36.332086,127.4296685
월호텔,대전광역시 대덕구 신탄진로681번길 44 (덕암동),여관업,20,10,36.4400025,127.4247462
벨라제 호텔(belleza hotel),대전광역시 동구 동서대로1683번길 46-8 (용전동),관광호텔,83,0,36.3524766,127.435556
그레이스,"대전광역시 서구 도마3길 14, 1~3층 (도마동)",숙박업(생활),0,19,36.3150688,127.3809525
오렌지파크,대전광역시 중구 목척3길 36 (은행동),여관업,26,0,36.3308503,127.4266052
황토방모텔,대전광역시 중구 목척7길 32 (은행동),여관업,21,1,36.330441,127.4266956
장수장여관,대전광역시 중구 인창로 36 (문창동),여관업,14,2,36.3233358,127.4340566
서원장,대전광역시 대덕구 덕암로265번길 59 (덕암동),여관업,15,4,36.4470669,127.4214778
메종,"대전광역시 중구 목척9길 13, 2~5층 (은행동)",숙박업(생활),33,0,36.330441,127.4266956
H.I(에이치.아이)호텔,대전광역시 동구 용운로 169 (용운동),여관업,31,0,36.3268274,127.4560747
모아장여관,"대전광역시 동구 대전로825번길 42 (중동,80,26)",여관업,10,6,36.332086,127.4296685
엠모텔,대전광역시 서구 도솔5길 5 (도마동),여관업,12,7,36.3142049,127.3712719
봉봉장,대전광역시 중구 대종로386번길 71 (문창동),여관업,16,0,36.3207914,127.4337158
수연장,대전광역시 동구 대전로 288-2 (대성동),여관업,6,8,36.3260032,127.4362296
연희여인숙,대전광역시 대덕구 신탄진동로7번길 41 (신탄진동),여인숙업,0,9,36.449223,127.4299318
영천여인숙,대전광역시 동구 선화로214번길 52 (정동),여인숙업,4,1,36.333,127.4308
모텔퀸,대전광역시 서구 도마3길 26 (도마동),여관업,11,8,36.3150688,127.3809525
대청파크,대전광역시 대덕구 덕암로148번길 24 (상서동),여관업,22,8,36.4331134,127.4225095
은혜장여관,대전광역시 중구 문창로 109 (문창동),여관업,10,0,36.3160659,127.4338853
신라모텔,대전광역시 동구 동서대로1683번길 50-13 (용전동),여관업,15,3,36.3524766,127.435556
금성파크,대전광역시 동구 동서대로 1699-22 (용전동),여관업,9,10,36.3458005,127.4298745
